No,No Lesen,Nama Syarikat,Nama Aktiviti,Tarikh Aktiviti Mula,Tarikh Aktiviti Tamat
734,L202501202,NeutralZone Enterprise,Malaysia Ice Hockey League,09/11/2025,14/06/2026
735,L202200414,JW GLOBAL JAYA TRADING,MALAYSIA GRAPPLING LEAGUE,26/02/2022,04/12/2022
736,L202200513,Oriental Global Event Management,Malaysia Day Fun Run - Sungai Petani,31/08/2022,31/08/2022
737,L202200528,Oriental Global Event Management,Malaysia Day Fun Run - Penang,25/09/2022,25/09/2022
738,L202200517,Oriental Global Event Management,Malaysia Day Fun Run - Ipoh,04/09/2022,04/09/2022
739,L202200518,Oriental Global Event Management,Malaysia Day Fun Run - Butterworth,11/09/2022,11/09/2022
740,L202300077,IJ EVENT MANAGEMENT,MALAYSIA DAY FUN RUN TAIPING,17/09/2023,17/09/2023
741,L202300099,IJ EVENT MANAGEMENT,MALAYSIA DAY FUN RUN SUNGAI PETANI,07/10/2023,07/10/2023
742,L202300105,IJ EVENT MANAGEMENT,MALAYSIA DAY FUN RUN KULIM,14/10/2023,14/10/2023
743,L202300092,IJ EVENT MANAGEMENT,MALAYSIA DAY FUN RUN BUTTERWORTH,24/09/2023,24/09/2023
744,L202300069,IJ EVENT MANAGEMENT,MALAYSIA DAY FUN RUN,10/09/2023,10/09/2023
745,L202300144,MEGA RAYA SDN BHD,MALAYSIA ALL STAR ESPORTS TOURNAMENT,24/11/2023,25/11/2023
746,L201900028,PACERS SPORT EVENTS SDN BHD,MALAYAN TIGER RUN 2019,28/07/2019,28/07/2019
747,L202501254,Malatra Events Enterprise,MALATRA ULTRA 2026,31/01/2026,02/02/2026
748,L202400722,Malatra Events,MALATRA ENDURANCE RUN 2024,10/02/2024,12/02/2024
749,L201900110,Malatra Ventures,MALATRA ENDURANCE RUN 2019,28/12/2019,29/12/2019
750,L202500982,Malatra Events Enterprise,MALATRA ENDURANCE RUN (PUTRAJAYA ULTRA RUNNING FESTIVAL) 2025,08/02/2025,09/02/2025
751,L202400749,MST GOLF MANAGEMENT SDN BHD,MAKE-A-WISH MALAYSIA CHARITY GOLF TOURNAMENT,08/05/2024,08/05/2024
752,L202200445,MST GOLF MANAGEMENT SDN BHD,MAKE-A-WISH MALAYSIA ANNUAL CHARITY GOLF TOURNAMENT,18/05/2022,18/05/2022
753,L202300690,MST GOLF MANAGEMENT SDN BHD,Make-A-Wish Annual Charity Golf Tournament,25/05/2023,25/05/2023
754,L202500997,MST GOLF ARENA SDN BHD,Make-A-Wish Annual Charity Golf Tournament,07/05/2025,07/05/2025
755,L202300649,Fanaz Event & Management,Mahkota Hills-BSP Ride 2023,26/02/2023,26/02/2023
756,L201900082,MALAYSIA AVIATION GROUP BERHAD,MAG-ATHON 2019,24/08/2019,24/08/2019
757,L202000306,Sportslife Fusion,Madtastic 4 Relay Challenge,19/04/2020,19/04/2020
758,L202400781,Mad Group Sdn Bhd,Mad Enduro 2024,02/08/2024,04/08/2024
759,L201900134,MAD Group Sdn. Bhd.,MAD Enduro 2019,15/11/2019,17/11/2019
760,L202501065,CHECKPOINT SPOT SDN BHD,M-SPLASH WATER FUN RUN,02/08/2025,02/08/2025
761,L202000273,RUNBIKEAWAY SERVICES,M RUN 2020,12/01/2020,12/01/2020
762,L202200615,RUNBIKEAWAY SERVICES,M RUN & RIDE 2022,11/12/2022,11/12/2022
763,L202400823,TEN SENSES (M) SDN BHD,M K LAND FUN RUN 2024,28/07/2024,28/07/2024
764,L202501258,PACERS SPORT EVENTS SDN BHD,Lunar New Year Run 2026,01/02/2026,01/02/2026
765,L202200623,PACERS SPORT EVENTS SDN BHD,LUNAR NEW YEAR RUN 2023,08/01/2023,08/01/2023
766,L201900103,PACERS SPORT EVENTS SDN BHD,LUNAR NEW YEAR RUN 2020,05/01/2020,05/01/2020
767,L201900238,KAPT EVENT MANAGEMENT,LOVE YOUR HEART RUN & RIDE (MALAYSIA),08/12/2019,08/12/2019
768,L202300701,TLM Event Sdn. Bhd,Love Penang Run 2023,14/05/2023,14/05/2023
769,L202200509,TLM EVENT SDN BHD,LOVE PENANG RUN,14/08/2022,14/08/2022
770,L202000311,DZHN ENTERPRISE,Love Fun Run 2020,28/03/2020,28/03/2020
771,L202200496,XS Elite Performance Services,LKE Durian Festival Run,31/07/2022,31/07/2022
772,L202300136,LION EVEN CREATION,LION RUN 2023,18/11/2023,18/11/2023
773,L202000336,JomRun Sdn Bhd,Limbang Unicorn Fun Run,19/04/2020,19/04/2020
774,L202300066,EASTERN REHAB SDN BHD,"LIGHT UP THE TOWN, NEON RUN",19/08/2023,19/08/2023
775,L202400898,KUANTAN SPORTS LIASON VENTURE,LIGA AMATUR PAHANG 2024,03/10/2024,05/10/2024
776,L202400825,Hamburger Asia Sdn Bhd,LG RUN 2024,04/08/2024,04/08/2024
777,L202501205,GOLF (MALAYSIA) PUBLICATIONS SDN BHD,LEXUS GOLF INVITATIONAL 2025,04/11/2025,04/11/2025
778,L202400770,MUSE GROUP SDN BHD,LETAPE MELAKA 2024,04/05/2024,05/05/2024
779,L202300016,MUSE GROUP SDN BHD,Letape Malaysia By Tour De France 2023,08/07/2023,08/07/2023
780,L201900095,IJ EVENT MANAGEMENT,Let's Fun Run Together 2019,15/09/2019,15/09/2019
781,L202400778,TLM EVENT SDN BHD,LEGACY WALK WITH KARPAL SINGH,19/05/2024,19/05/2024
782,L202501014,Mountain Goat Events,Ledang Climbathon 2025,19/04/2025,20/04/2025
783,L202400768,Mountain Goat Events,Ledang Climbathon 2024,04/05/2024,04/05/2024
784,L202200553,HUMAN VOYAGE (M) SDN. BHD.,LE TOUR DE LANGKAWI 2022,11/10/2022,18/10/2022
785,L202300020,SCORE SPORTS MANAGEMENT SDN BHD,LAZADA RUN MALAYSIA,16/07/2023,16/07/2023
786,L202501128,World Endurance Malaysia SDN BHD,LAZADA RUN 2025,12/10/2025,12/10/2025
787,L202300024,VERTENZ INTERNATIONAL SDN BHD,LAST MAN STANDING MALAYSIA OPEN 2023,29/07/2023,03/08/2023
788,L202200555,KARC ENTERPRISE,LARIAN ULU KADAMAIAN,08/10/2022,08/10/2022
789,L201900077,JHK EVENTS,LARIAN ULANG TAHUN KE-20 LLPM,25/08/2019,25/08/2019
790,L202000335,DYNACORP ALLIANCE (M) SDN BHD (Activenation.Asia),LARIAN SETIA JOHOR,21/03/2020,21/03/2020
791,L202300645,Score Sports Management Sdn Bhd,LARIAN SEMPENA SAMBUTAN JUBLI PERAK 25 TAHUN PTPTN,19/02/2023,19/02/2023
792,L202501028,AVID AD VENTURE,LARIAN SAWAH PADI SEKINCHAN 2025,27/04/2025,27/04/2025
793,L202501255,TENACORE TECHNOLOGY SDN BHD,Larian Santai - The Good Vibes Run,28/12/2025,28/12/2025
794,L201900246,Mantra Experiential Sdn Bhd,Larian Perisik,07/12/2019,07/12/2019
795,L202200510,COMRADES ALL STAR SOLUTIONS,LARIAN PERAK ULTRA 2022 (THE MAJESTIC LENGGONG),03/09/2022,04/09/2022
796,L202100384,COMRADES ALL STAR SOLUTIONS,Larian Mencari Nur,04/12/2021,05/12/2021
797,L202200548,World Endurance Malaysia SDN BHD,Larian Malaysia Boleh Bersama MILO,16/09/2022,16/09/2022
798,L202200456,KARC ENTERPRISE,LARIAN LAMBAIAN BOGUNG,28/05/2022,28/05/2022
799,L201900004,Pacat Event Solutions,LARIAN KING OF KAMPUNG KEMENSAH ULTRA 2019,29/06/2019,30/06/2019
800,L202400886,TEN SENSES (M) SDN BHD,LARIAN KELUARGA MALAYSIA 2024,29/09/2024,29/09/2024
801,L201900184,JomRun Sdn. Bhd.,Larian JomRun Sabah,24/11/2019,24/11/2019
802,L202400948,ASHKHU GLOW EVENT MANAGEMENT,LARIAN JAMBATAN SULTAN NAZRIN SHAH 2024,24/11/2024,24/11/2024
803,L202400794,BDB LEISURE SDN BHD,LARIAN BDB Langkawi Climb 2024,29/06/2024,29/06/2024
804,L202100383,DYANAINSPIRA SDN BHD,LARIAN ANTARABANGSA,31/12/2021,31/12/2021
805,L202200604,YAYASAN HUMANISTIK,"LARIAN AMAL- TAMAN TAMBUN INDAH, SIMPANG AMPAT,PULAU PINANG",18/12/2022,18/12/2022
806,L202300656,Masverse Sdn Bhd,Larian Amal Web 3 Pertama Malaysia cabang Stepn,26/02/2023,26/02/2023
807,L201900068,IOI PROPERTIES GROUP BERHAD,LARIAN AMAL PUTRA,27/08/2019,27/08/2019
808,L202200583,YAYASAN HUMANISTIK,LARIAN AMAL PALAZZO MALL SUBANG JAYA,13/11/2022,13/11/2022
809,L202400929,YAYASAN HUMINISTIK,LARIAN AMAL MEMBIAYAI TABUNG MURID MISKIN SEKOLAH 2024,27/10/2024,27/10/2024
810,L202501194,YAYASAN HUMANISTIK,larian amal membiayai miskin sekolah 2025,26/10/2025,26/10/2025
811,L202000350,FELADE GROUPS,LARIAN AMAL MEMBERI KESEDARAN PENYAKIT HIV/AIDS,04/04/2020,04/04/2020
812,L202200588,YAYASAN HUMANISTIK,LARIAN AMAL KLANG,13/11/2022,13/11/2022
813,L202501176,YAYASAN HUMINISTIK,LARIAN AMAL (OLAHRAGA),26/10/2025,26/10/2025
814,L202400906,YAYASAN HUMINISTIK,LARIAN AMAL (OLAHRAGA),27/10/2024,27/10/2024
815,L202400905,YAYASAN HUMINISTIK,LARIAN AMAL (OLAHRAGA),27/10/2024,27/10/2024
816,L201900236,FELADE GROUPS,"LARIAN AMAL ""AWARENESS FUN RUN 2019""",07/12/2019,07/12/2019
817,L202000301,Sekolah Menengah Advent Goshen,Larian Amal,01/05/2020,01/05/2020
818,L202300151,SUNGAI LONG MEDICAL CENTER,LARIAN AMAL,26/11/2023,26/11/2023
819,L201900006,SKAIEVENT TECHNOVATION SDN BHD,Larian 5km SKAIEVENT LEBARUN 2019,22/06/2019,22/06/2019
820,L202501116,CORPORATE HERO CENTURY SDN BHD,LARIAN 5KM FUN RUN & 10KM COMPETITIVE RUN,23/08/2025,23/08/2025
821,L202400773,Lumen Sports Sdn Bhd,Langkawi Ultra 2024,25/05/2024,26/05/2024
822,L202000281,ULTRA RUNNING,Langkawi Ultra 2020,29/02/2020,01/03/2020
823,L202300682,Lumen Sports Sdn Bhd,LANGKAWI ULTRA,06/05/2023,07/05/2023
824,L202100386,Tough Gorilla Ventures,Langkawi Swimming Festival 2021,12/12/2021,12/12/2021
825,L202200608,Tough Gorilla Ventures,Langkawi Swimming Festival,04/12/2022,04/12/2022
826,L202501055,Tough Gorilla Ventures,Langkawi Swim Fest,01/06/2025,01/06/2025
827,L202501146,TOUGH GORILLA VENTURES,LANGKAWI LEGENDARY RIDE 2025,06/09/2025,06/09/2025
828,L202400870,TOUGH GORILLA VENTURES,LANGKAWI LEGENDARY RIDE 2024,07/09/2024,07/09/2024
829,L202300084,TOUGH GORILLA VENTURES,LANGKAWI LEGENDARY RIDE 2023,09/09/2023,09/09/2023
830,L202200538,Tough Gorilla Ventures,Langkawi Legendary Ride 2022,10/10/2022,10/10/2022
831,L202601292,NORTHERN RUNNERS RESOURCES,LANGKAWI KILIM TRAIL RUN 2026,18/04/2026,18/04/2026
832,L202400958,Lumen Sports Sdn Bhd,LANGKAWI INTERNATIONAL ULTRA RUN 2025,21/06/2025,22/06/2025
833,L202501240,LIMES PASSION,LANGKAWI INTERNATIONAL HALF MARATHON,06/12/2025,06/12/2025
834,L202501141,LTA EVENT MANAGEMENT,LANGKAWI INTERNATIONAL FOLDING BIKE CHALLENGE 2025,23/08/2025,23/08/2025
835,L202400841,LTA EVENT MANAGEMENT,LANGKAWI INTERNATIONAL FOLDING BIKE CHALLENGE 2024,24/08/2024,24/08/2024
836,L202300050,LTA EVENT MANAGEMENT,LANGKAWI INTERNATIONAL FOLDING BIKE CHALLENGE 2023,26/10/2023,26/10/2023
837,L202400826,LYC HOSPITALITY SDN. BHD,LANGKAWI AMATEUR GOLF INVITATIONAL 2024,14/08/2024,16/08/2024
838,L202300047,SAMBIL PARK (M) SDN BHD,LALIGA YOUTH TOURNAMENT 2023,15/09/2023,17/09/2023
839,L202200440,BALL MOVEMENT LEGACY,LaLaport x Ball Movement 3x3 Tournament 2022,02/04/2022,03/04/2022
840,L202400963,Linkedup Asia Sdn Bhd,LAC DINK2 Pickleball Challenge,28/12/2024,29/12/2024
841,L202000359,JHK EVENTS,LABUANfm Fun Run 2020,05/04/2020,05/04/2020
842,L202000325,JomRun Sdn. Bhd.,Labuan Unicorn 5km Fun Run,01/03/2020,01/03/2020
843,L201900156,AVTA SPORTS SDN BHD,LABUAN ULTRA MARATHON,27/10/2019,27/10/2019
844,L202300146,AVTA SPORTS SDN BHD,LABUAN ULTRA MARATHON,12/11/2023,12/11/2023
845,L202200559,Cyclomotion Sdn Bhd,LABUAN RIDE 2022,30/10/2022,30/10/2022
846,L201900250,SBH ULTRON SDN BHD,LABUAN NEW YEAR RUN 2020,04/01/2020,04/01/2020
847,L201900060,JHK EVENTS,LABUAN 3 TRAILS RACE & FUN HIKING 2019,04/08/2019,04/08/2019
848,L201900012,EC Pixels,L'occitane Run For Vision 2019,23/06/2019,23/06/2019
849,L202200466,MUSE GROUP SDN BHD,L'ETAPE MALAYSIA BY TOUR DE FRANCE,-,-
850,L202501257,PACERS SPORT EVENTS SDN BHD,kwasa damansara hari hari fun run 2026,11/01/2026,11/01/2026
851,L202200488,Cyclomotion Sdn Bhd,Kulim Kedah Century Ride 2022,02/07/2022,02/07/2022
852,L202200490,Penggerak Acara Padang Lalang,Kuantan Power Ride 2022,30/07/2022,30/07/2022
853,L202200497,DIRIGO EVENTS SDN BHD,KUALA LUMPUR STANDARD CHARTERED MARATHON,12/11/2022,13/11/2022
854,L202300711,DIRIGO EVENTS SDN BHD,KUALA LUMPUR STANDARD CHARTERED MARATHON,30/09/2023,01/10/2023
855,L202501057,Dirigo Events Sdn Bhd,Kuala Lumpur Standard Chartered Marathon,04/10/2025,05/10/2025
856,L202501244,Put Labs Resources,Kuala Lumpur Friendly Series,05/12/2025,07/12/2025
857,L202400827,Malatra Events Enterprise,KUALA LUMPUR ENDURANCE RUN 2024,24/08/2024,25/08/2024
858,L202200494,Malatra Events,KUALA LUMPUR ENDURANCE RUN,27/08/2022,28/08/2022
859,L202300113,MALATRA EVENTS ENTERPRISE,KUALA LUMPUR ENDURANCE RUN,14/10/2023,15/10/2023
860,L202501042,ASHKHU GLOW EVENT MANAGEMENT,KUALA KANGSAR HALF MARATHON 2025,01/06/2025,01/06/2025
861,L202400931,GALA MODA SDN BHD,KTMB RAILWAY TO SEE MALAYSIA FUN RUN 2024,30/11/2024,30/11/2024
862,L202200419,Cyclomotion Sdn Bhd,KSRP King Of Mountain Challenge : KKB-FRASERS HILL,06/03/2022,06/03/2022
863,L201900168,KPMG PLT,KPMG TOWER RUN 2019,02/11/2019,02/11/2019
864,L202000340,SMC Healthcare Sdn Bhd,KPJ Sabah Colour Run 2020,19/04/2020,19/04/2020
865,L201900244,KPJ Penang Specialist Hospital,KPJ Penang Glow Run 2019,14/12/2019,14/12/2019
866,L201900081,ELPIS EVENT MANAGEMENT,KPJ PAHANG BRIDGE RUN 2.0,13/10/2019,13/10/2019
867,L202200504,CRUSADE LEADERS SDN BHD,KP HALF MARATHON 2022,31/07/2022,31/07/2022
868,L202000298,JomRun Sdn. Bhd.,Kota Kinabalu Red Arena Run,16/02/2020,16/02/2020
869,L202000331,JomRun Sdn. Bhd.,Kota Kinabalu Pokok 5km Run,29/03/2020,29/03/2020
870,L201900252,SBH ULTRON SDN BHD,KOTA KINABALU NEW YEAR RUN 2020,01/01/2020,01/01/2020
871,L202000332,JomRun Sdn. Bhd.,Kota Kinabalu Nasi Lemak 5km Fun Run,08/03/2020,08/03/2020
872,L201900245,JomRun Sdn. Bhd.,Kota Kinabalu 10K Run,15/12/2019,15/12/2019
873,L202501187,KARC ENTERPRISE,KOTA BELUD HALF MARATHON (KBHM),26/10/2025,26/10/2025
874,L202400735,hybrid management sdn.bhd,komtar tower run by nx113,10/03/2024,10/03/2024
875,L202300666,Mahsuri Oreca Sdn Bhd,KOM ATTACK SERIES 2023,18/03/2023,18/03/2023
876,L202300044,EXPERTISE EVENT MANAGEMENT,KOKOL VERTEX,20/08/2023,20/08/2023
877,L202200467,EXPERTISE EVENT MANAGEMENT,KOKOL VERTEX,12/06/2022,12/06/2022
878,L202200544,EXPERTISE EVENT MANAGEMENT,KOKOL ULTRA 2022,15/10/2022,15/10/2022
879,L202501124,EXPERTISE EVENT MANAGEMENT,KOKOL ULTRA,19/10/2025,19/10/2025
880,L202400798,EXPERTISE EVENT MANAGEMENT,KOKOL ULTRA,12/10/2024,12/10/2024
881,L202300104,EXPERTISE EVENT MANAGEMENT,KOKOL ULTRA,14/10/2023,14/10/2023
882,L202000361,EXPEDIVO EVENTS SDN BHD,km75 Duathlon 2020,28/06/2020,28/06/2020
883,L202300160,XS ELITE PERFORMANCE SERVICES,KLSCCCI FOODIE RUN 2023,02/12/2023,02/12/2023
884,L202300120,UNIVERSITI POLYTECH MALAYSIA,KLEX CULTURAL SPRINT,15/10/2023,15/10/2023
885,L201900084,Rosaline Events Management,KLAU JUNGLE TRAIL 2019,08/09/2019,08/09/2019
886,L202601264,Malaysian Marathon Official Sdn Bhd,KL10 & Malaysia Music Night Run 2026,01/02/2026,01/02/2026
887,L202200611,XS Elite Performance Services,KL Wellness City Fitness Challenge,11/12/2022,11/12/2022
888,L202300106,BOLT EVENTS MANAGEMENT,KL SUNDOWN,01/12/2023,02/12/2023
889,L202400957,AA FIGHT EVENT PROMOTION & MANAGEMENT,KL FIGHT LEAGUE 2024,05/12/2024,08/12/2024
890,L202200470,EVENTFINDERS,KK DUATHLON 3.0,19/06/2022,19/06/2022
891,L201900135,Event Finders,KK Duathlon 2019,22/09/2019,22/09/2019
892,L202300142,X MULTISPORT EVENT,KK CITY X MULTISPORT CHALLENGE 2023,12/11/2023,12/11/2023
893,L202200402,EXPERTISE EVENT MANAGEMENT,KIONSOM TRAIL RUN 2022,13/02/2022,13/02/2022
894,L202000343,MD YAKIN ENTERPRISE,KIONSOM TRAIL RUN,21/03/2020,21/03/2020
895,L201900235,MD YAKIN ENTERPRISE,KIONSOM RUN CHAPTER 2019,21/12/2019,21/12/2019
896,L202300635,EXPERTISE EVENT MANAGEMENT,KIONSOM RUN 2023,29/01/2023,29/01/2023
897,L202100395,EXPERTISE EVENT MANAGEMENT,KIONSOM RUN 2022,02/01/2022,02/01/2022
898,L202400732,EXPERTISE EVENT MANAGEMENT,KIONSOM RUN,25/02/2024,25/02/2024
899,L202500993,RFD GROUP SDN BHD,KING OF THE MAT III,22/02/2025,22/02/2025
900,L202400745,COMRADES ALL STAR SOLUTIONS,KING OF SUNGAI LEMBING,25/05/2024,26/05/2024
901,L202300704,Endurance Nature Sdn Bhd,King of Penang Hill Challenge,15/07/2023,16/07/2023
902,L202501157,COMRADES ALL STAR SOLUTIONS,KING OF LENGGONG TRAIL,07/09/2025,07/09/2025
903,L202400785,COMRADES ALL STAR SOLUTIONS,KING OF LENGGONG TRAIL,31/08/2024,01/09/2024
904,L202200476,COMRADES ALL STAR SOLUTIONS,KING OF KEMENSAH TRAIL 2022 6th EDITION,02/07/2022,03/07/2022
905,L202501061,COMRADES ALL STAR SOLUTIONS,KING OF KEMENSAH TRAIL,14/06/2025,15/06/2025
906,L202300003,COMRADES ALL STAR SOLUTIONS,King of Kemensah Trail,08/07/2023,09/07/2023
907,L202400753,COMRADES ALL STAR SOLUTIONS,KING OF KEMENSAH TRAIL,06/07/2024,07/07/2024
908,L201900253,CONCEPT COLLABORATION SDN BHD,KIDS GOLF WORLD CHAMPIONSHIP,17/12/2019,20/12/2019
909,L202300109,MMTF CONSULTANT,KIALAS TIOMAN ULTRA (TU50),06/10/2023,08/10/2023
910,L201900009,KULIM TECHNOLOGY PARK CORPORATION SDN. BHD.,KHTP SELFIE FUN RUN,20/07/2019,20/07/2019
911,L202400763,EGEN EVENT SDN BHD,Key-A-Thon Fun Run 2024,11/05/2024,11/05/2024
912,L201900242,KAZOKU EVENTS,Key Power Sports Run 2020,16/02/2020,16/02/2020
913,L202000300,JomRun Sdn. Bhd.,Keningau Unicorn 5km Fun Run,08/02/2020,08/02/2020
914,L202501044,EC Pixels Asia Sdn Bhd,KENANGA PORT DICKSON INTERNATIONAL TRIATHLON 2025,03/05/2025,04/05/2025
915,L202501142,Kazoku Events,KENANGA MAN OF STEEL TRIATHLON 2025,09/08/2025,10/08/2025
916,L202200552,TREND LINE (MALAYSIA) SDN. BHD.,"Keluarga Malaysia Run, Climate Change, Earth Day - Hari Alam Sekitar Negara",24/09/2022,24/09/2022
917,L202000357,SAFE AIM MUTUAL SDN BHD,KEJUARAAN PETRONAS MALAYSIA CUBPRIX,14/03/2020,15/03/2020
918,L202300632,SAFE AIM MUTUAL SDN BHD,KEJUARAAN PETRONAS CUBPRIX MALAYSIA 2023,25/02/2023,19/11/2023
919,L202200407,SAFE AIM MUTUAL SDN BHD,KEJUARAAN PETRONAS CUB PRIX MALAYSIA 2022,13/03/2022,04/12/2022
920,L202100370,SAFE AIM MUTUAL SDN BHD,KEJUARAAN PETRONAS CUB PRIX MALAYSIA 2021,11/04/2021,19/12/2021
921,L202200427,TWO WHEELS MOTOR RACING SDN BHD,KEJUARAAN ASIA ROAD RACING 2022,26/05/2022,29/05/2022
922,L202501241,KOPERASI SINAR TANJUNG BALAU BERHAD,KEJORA INTERNATIONAL SURFING CUP 2025,26/12/2025,28/12/2025
923,L202501097,NSA Megah Management Services,Kejohanan Silat Seni dan Olahraga Kebangsaan Putera Island Resort,07/08/2025,10/08/2025
924,L202200433,BANK MUAMALAT MALAYSIA BERHAD,KEJOHANAN RAGBI 10 SEPASUKAN JEMPUTAN BANK MUAMALAT 2022,19/03/2022,19/03/2022
925,L202400865,321 Group Holdings sdn bhd,KEJOHANAN MUAYTHAI “MEGA FIGHT NIGHT (MFN) 2024,14/09/2024,14/09/2024
926,L202400912,BEE ONE SUCCESS ENTERPRISE,KEJOHANAN MOBILE LEGEND BANG BANG ESPORT BELIA CHAMPION GAMERS 2024,19/10/2024,20/10/2024
927,L202300683,ABC MEDIA PLT (LLP-0003843 LGN),Kejohanan Keto Labs Pahlawan Muaythai,06/05/2023,06/05/2023
928,L202400883,AZ ERA SDN BHD,KEJOHANAN JET SKI PIALA MALAYSIA MADANI 2024,24/10/2024,27/10/2024
929,L202400924,CAHAYA MUNAWWARAH ENTERPRISE,KEJOHANAN GOLF AMATUR TERBUKA,31/10/2024,31/10/2024
930,L202400909,MYDNJ RICHWORKS SDN. BHD,Kejohanan Futsal Terbuka Peringkat Negeri Selangor,27/10/2024,27/10/2024
931,L202400907,TEGUH GLOBAL RESOURCES,KEJOHANAN FUTSAL OPEN PERAK TAHUN 2024,20/11/2024,20/11/2024
932,L202100385,NBL International Sdn Bhd,Kejohanan Bola Tampar Pantai Terbuka Malaysia 2021,19/12/2021,21/12/2021
933,L202400833,Legasi Lagenda (M) Sdn. Bhd,Kejohanan Bola Sepak B-12 (L) dan B-15 (P) Piala Legasi Lagenda Peringkat Negeri Melaka,26/10/2024,27/10/2024
934,L202200508,MEDIA TWENTY FOUR SEVEN SDN BHD,KEJOHANAN BADMINTON REMAJA ALLIANZ 2022,05/08/2022,28/11/2022
935,L201900032,KDU UNIVERSITY COLLEGE (PG) SDN BHD,KDU TECHNICOLOUR CHARITY RUN,21/12/2019,21/12/2019
936,L201900104,PACERS SPORT EVENTS SDN BHD,KCK FUN RUN 2019,06/10/2019,06/10/2019
937,L201900133,carbon sports sdn.bhd.,KAYUHAN REKREASI SEPANG GOLD COAST 2019,15/09/2019,15/09/2019
938,L201900036,LERUN INDUSTRIES SDN BHD,KAYUHAN MERDEKA RODALINK 2019,01/09/2019,01/09/2019
939,L202200426,K TWO BERJAYA RESOURCES,KAYUHAN JELAJAH ASPIRASI KELUARGA MALAYSIA 2022,05/03/2022,05/03/2022
940,L202200436,K TWO BERJAYA RESOURCES,KAYUHAN JELAJAH ASPIRASI KELUARGA MALAYSIA 2022,26/03/2022,26/03/2022
941,L201900219,THOUSAND SPORTS,KAWAII UNICORN COLOR RUN 2020,15/02/2020,15/02/2020
942,L202400894,RUNBIKEAWAY SERVICES,KARNIVAL UDA FUN RUN 2024,28/09/2024,28/09/2024
943,L202501135,KARC ENTERPRISE,KAR ULTRA 2025,26/07/2025,27/07/2025
944,L202501039,AMMJB Swimmers Enterprise,Kapas Marang Swimathon 2025,24/05/2025,24/05/2025
945,L202400762,AMMJB Swimmers Enterprise,Kapas Marang Swimathon 2024,11/05/2024,11/05/2024
946,L202100375,AMMJB Swimmers Enterprise,Kapas Marang Swimathon,19/06/2021,20/06/2021
947,L202000278,SPORTZ REVOLUTION,KAMPAR MAZE RUN 2020,19/01/2020,19/01/2020
948,L202500992,MMTF CONSULTANT,Kailas Penang Skyrace 2025,26/04/2025,27/04/2025
949,L202400937,MMTF CONSULTANT,KAILAS PENANG SKYRACE,02/11/2024,03/11/2024
950,L202400774,Mountain Goat Events,KAILAS MOUNT OPHIR TRAIL 2024,20/07/2024,21/07/2024
951,L202300080,K CAR GLOBAL,K CAR GLOBAL SEPANG 24HOURS ENDURANCE 2023,17/11/2023,19/11/2023
952,L202400904,JUMP STREET MALAYSIA SDN BHD,JUMP FEST 2024,05/10/2024,06/10/2024
953,L202501069,EC Pixels Asia Sdn Bhd,Jujutsu Kaisen Night Run 2025,14/06/2025,14/06/2025
954,L202501070,XS Elite Performance Services,Jugra Hill Challenge,05/07/2025,06/07/2025
955,L201900229,MS Sports & Event Management,Joyful Run,14/12/2019,14/12/2019
956,L201900069,JomRun Sdn Bhd,JomRun Merdeka Sungai Petani 5 KM Fun Run,17/08/2019,17/08/2019
957,L201900062,JomRun Sdn Bhd,JomRun Merdeka Johor 5 KM Fun Run,17/08/2019,17/08/2019
958,L201900094,JomRun Sdn Bhd,JomRUn Merdeka Cyberjaya 5KM Fun Run,18/08/2019,18/08/2019
959,L201900098,JomRun Sdn Bhd,JomRun Merdeka 5KM Fun Run -Seremban,25/08/2019,25/08/2019
960,L202200605,Oriental Global Event Management,JomRun Christmas Fun Run - Butterworth,18/12/2022,18/12/2022
961,L201900257,JomRun Sdn Bhd,JomRun 2nd Year Anniversary Run,11/01/2020,11/01/2020
962,L201900075,Oriental Global Event Management,JOM RUN MERDEKA 5 KM FUN RUN,31/08/2019,31/08/2019
963,L202200438,ASHKHU GLOW EVENT MANAGEMENT,JOM MALAYSIA FUN RUN 2022,29/05/2022,29/05/2022
964,L202200437,ASHKHU GLOW EVENT MANAGEMENT,JOM KEDAH FUN RUN 2022,26/03/2022,26/03/2022
965,L201900047,Oriental Global Event Management,Jom Anak Kedah Fun Walk & Run 2019,27/07/2019,27/07/2019
966,L202501096,ISREC ADV RESOURCES,JOHOR MERDEKA HIKE 2025,30/08/2025,30/08/2025
967,L201900030,Blue Frost Southern Management Sdn. Bhd.,JOHOR ICE SKATING CHALLENGE 2019,12/07/2019,14/07/2019
968,L202601287,Blue Frost Southern Management Sdn. Bhd,JOHOR ICE HOCKEY TOURNAMENT 2026,21/01/2026,25/01/2026
969,L202500973,Blue Frost Southern Management Sdn. Bhd,JOHOR ICE HOCKEY TOURNAMENT 2025,18/01/2025,19/01/2025
970,L202601263,ISREC ADV RESOURCES,JOHOR EXPEDITION DAYHIKE 2026,24/04/2026,25/04/2026
971,L202500994,ISREC ADV RESOURCES,JOHOR EXPEDITION DAYHIKE 2025,18/04/2025,19/04/2025
972,L201900191,Oriental Global Event Management,Johor City Fun Walk 2019,16/11/2019,16/11/2019
973,L202200457,Penggerak Acara Padang Lalang,Jerantut Nature Ride 2022,29/05/2022,29/05/2022
